mid,date
9716,1998-12-21 05:29:00
7830,1999-03-02 07:30:00
90523,1999-05-03 09:44:00
89618,1999-05-05 05:27:00
89475,1999-05-05 05:27:00
183035,1999-05-10 01:57:00
183034,1999-05-10 02:05:00
183033,1999-05-10 02:06:00
183032,1999-05-10 02:29:00
183031,1999-05-10 09:22:00
183030,1999-05-10 09:49:00
183029,1999-05-10 11:13:00
183028,1999-05-11 02:04:00
183027,1999-05-11 02:48:00
183026,1999-05-11 03:03:00
183025,1999-05-11 04:09:00
183024,1999-05-11 04:34:00
183022,1999-05-11 10:36:00
183021,1999-05-12 01:51:00
183019,1999-05-12 02:27:00
183020,1999-05-12 02:27:00
183018,1999-05-12 08:44:00
183017,1999-05-12 09:24:00
183016,1999-05-12 09:44:00
183014,1999-05-12 10:00:00
183013,1999-05-12 10:39:00
183012,1999-05-13 03:22:00
183011,1999-05-13 07:06:00
183010,1999-05-13 09:02:00
183009,1999-05-13 09:04:00
183008,1999-05-13 10:43:00
183007,1999-05-13 11:21:00
183006,1999-05-13 11:33:00
183005,1999-05-13 11:37:00
90512,1999-05-14 03:47:00
89474,1999-05-14 03:47:00
183004,1999-05-14 04:20:00
183003,1999-05-14 04:43:00
183002,1999-05-17 04:23:00
183001,1999-05-17 04:25:00
183000,1999-05-17 04:54:00
182999,1999-05-17 04:56:00
182998,1999-05-17 06:49:00
182997,1999-05-17 09:58:00
182996,1999-05-18 03:16:00
182995,1999-05-18 03:59:00
180478,1999-05-18 04:11:00
182994,1999-05-20 03:54:00
182993,1999-05-20 08:20:00
182992,1999-05-20 08:27:00
182991,1999-05-20 08:35:00
182990,1999-05-20 09:27:00
182989,1999-05-21 02:59:00
182988,1999-05-21 03:00:00
7829,1999-05-22 02:12:00
182987,1999-05-24 01:54:00
182986,1999-05-24 02:15:00
182985,1999-05-24 03:30:00
182984,1999-05-24 10:21:00
182983,1999-05-25 01:54:00
182982,1999-05-25 02:08:00
182981,1999-05-25 02:12:00
182980,1999-05-25 03:52:00
182979,1999-05-25 04:53:00
182978,1999-05-25 04:57:00
182977,1999-05-25 07:08:00
182976,1999-05-25 09:25:00
7828,1999-05-25 10:09:00
7827,1999-05-26 02:18:00
182975,1999-05-26 06:33:00
182974,1999-05-26 11:04:00
182973,1999-05-27 02:28:00
182972,1999-05-27 10:05:00
182971,1999-05-28 01:23:00
182970,1999-05-28 01:24:00
179277,1999-05-28 01:25:00
180477,1999-05-28 01:27:00
182969,1999-05-28 01:31:00
182968,1999-05-28 05:53:00
182967,1999-05-28 10:25:00
182966,1999-06-01 04:38:00
7823,1999-06-01 07:02:00
182965,1999-06-01 07:52:00
89615,1999-06-02 05:21:00
89473,1999-06-02 05:21:00
182964,1999-06-02 06:30:00
182963,1999-06-10 03:08:00
182962,1999-06-10 10:17:00
182961,1999-06-11 01:57:00
89472,1999-06-11 06:42:00
89611,1999-06-11 06:42:00
182960,1999-06-14 01:57:00
182959,1999-06-14 02:12:00
182958,1999-06-14 10:36:00
182957,1999-06-15 06:04:00
182956,1999-06-15 08:15:00
182955,1999-06-16 07:41:00
182954,1999-06-17 02:32:00
182953,1999-06-17 08:27:00
182952,1999-06-18 02:53:00
182950,1999-06-18 07:15:00
182949,1999-06-21 04:16:00
182948,1999-06-21 04:17:00
182947,1999-06-21 04:55:00
182946,1999-06-21 04:58:00
182945,1999-06-21 05:12:00
182944,1999-06-21 05:17:00
182943,1999-06-21 05:19:00
182942,1999-06-21 06:45:00
182941,1999-06-22 02:49:00
90511,1999-06-22 04:38:00
89471,1999-06-22 04:38:00
182940,1999-06-22 06:15:00
182939,1999-06-23 01:45:00
182938,1999-06-23 03:00:00
182937,1999-06-23 04:47:00
182936,1999-06-23 09:51:00
182935,1999-06-24 01:49:00
182934,1999-06-24 02:04:00
179276,1999-06-24 06:18:00
182933,1999-06-25 01:54:00
55595,1999-06-25 02:14:00
182932,1999-06-25 06:29:00
182931,1999-06-28 11:33:00
182930,1999-06-29 02:08:00
182929,1999-06-29 02:18:00
182928,1999-06-29 02:20:00
182927,1999-06-29 03:14:00
182926,1999-06-30 01:39:00
182925,1999-07-01 01:50:00
182924,1999-07-01 01:55:00
182923,1999-07-01 04:08:00
182922,1999-07-01 09:58:00
182921,1999-07-06 01:34:00
182920,1999-07-06 01:36:00
182919,1999-07-06 02:04:00
182918,1999-07-06 02:36:00
182917,1999-07-06 03:45:00
182916,1999-07-06 04:47:00
182915,1999-07-06 05:09:00
182914,1999-07-07 01:41:00
182913,1999-07-07 01:42:00
182912,1999-07-07 02:15:00
182911,1999-07-07 04:43:00
182910,1999-07-07 11:33:00
182909,1999-07-08 01:44:00
182908,1999-07-08 01:56:00
182907,1999-07-08 04:10:00
182906,1999-07-08 05:58:00
182905,1999-07-08 06:57:00
182904,1999-07-08 07:14:00
182903,1999-07-08 07:54:00
182902,1999-07-08 09:09:00
